sqft,beds,baths,age,lot,garage,neighborhood,dist_city,price
1970,3,4,13,2206,1,D,2.06,282260
2320,3,3,28,3882,2,E,6.92,250343
1201,4,3,12,8007,0,C,2.45,237609
1776,5,5,40,4761,2,A,20.83,388173
1404,4,4,0,3018,1,C,10.2,259479
1943,2,1,5,8531,1,A,7.81,428479
2518,5,5,7,4826,1,A,0.53,588069
1230,2,2,17,2465,1,C,12.74,212022
1515,4,5,79,6273,1,D,18.2,181688
1816,4,4,45,7208,1,E,6.52,210588
1137,2,2,34,4799,1,E,8.9,137901
2075,2,1,13,2358,0,A,1.55,432798
1761,4,4,33,5947,0,B,12.59,333010
1222,3,3,22,7799,2,E,11.42,159318
1127,5,6,0,6214,0,A,0.41,358049
1604,5,6,11,6246,0,A,12.77,422086
1314,3,4,2,6018,1,B,9.17,296508
2581,4,3,23,5985,2,B,19.81,435508
1291,3,4,3,6270,1,D,19.9,220264
901,3,4,5,4706,2,A,9.65,277796
1456,2,2,18,2498,2,C,0.68,229712
933,4,5,10,4935,0,C,9.73,204210
1547,3,3,41,7842,0,D,15.38,206302
1032,2,2,24,1074,2,E,14.13,116694
1935,3,3,33,3442,1,B,4.7,325929
1114,4,4,10,4242,0,A,5.29,308603
2244,3,3,18,4628,0,C,6.89,336373
2861,3,4,1,4660,0,C,16.51,427756
974,3,3,6,1968,0,A,18.78,276292
1691,3,4,48,8210,2,E,12.6,197483
1247,3,4,3,802,1,E,9.16,174140
1763,3,4,1,5099,1,B,8.41,347431
1910,3,2,6,4812,1,B,14.71,360728
1326,4,4,36,4708,2,D,12.74,207281
1034,4,4,2,8054,1,D,15.27,200797
1606,5,5,9,7818,0,A,8.64,423539
1499,1,2,14,4289,1,D,12.26,208013
731,3,3,89,4762,1,B,20.37,98414
2196,4,5,12,7457,2,B,14.43,412191
1842,3,4,3,5625,2,B,15.54,351680
2923,2,3,22,4594,2,D,4.61,378610
555,5,5,41,537,0,C,6.31,133947
1555,2,3,30,4510,1,E,7.41,185351
2252,2,3,40,6384,0,C,11.05,305983
1530,4,5,12,2821,1,E,4.56,198822
1914,3,3,28,8309,0,C,9.41,307137
1922,5,6,17,3789,0,A,9.7,471201
1076,2,2,39,6590,1,D,8.21,158447
2161,2,3,35,6091,0,A,6.72,445323
1532,4,4,3,7051,2,D,9.48,262051
1276,4,4,18,5236,0,C,15.98,236961
1887,2,2,42,3271,2,C,5.7,256205
2276,2,2,32,4397,2,A,0.45,449361
1395,1,1,9,5686,2,A,15.24,305274
1616,2,3,21,4669,2,B,11.32,299250
2358,3,4,7,6594,2,D,14.13,327627
1976,2,3,61,4185,1,D,9.42,232635
1386,4,4,1,4690,1,B,11.13,297531
1674,3,2,4,3732,0,A,9.94,384730
1083,5,5,4,6398,1,B,13.58,269175
1963,3,3,55,4603,2,C,17.61,260322
2940,3,3,9,5624,0,C,12.48,441465
1537,2,3,0,8350,0,E,12.4,197103
1525,2,3,10,7393,1,C,6.42,255346
1508,3,2,9,7830,0,D,22.54,236975
1245,2,2,1,5378,0,E,12.64,179969
1162,3,3,29,1701,1,B,10.08,231171
2049,2,3,20,3657,0,D,10.42,280524
1920,4,3,15,5082,0,D,8.16,290242
956,4,5,28,3918,0,C,26.95,174409
2004,4,3,11,5003,2,C,2.62,328599
2304,3,3,31,4376,2,B,15.14,377920
2403,2,3,14,6648,0,E,21.82,273870
2266,3,3,11,4009,0,A,8.64,493363
1043,3,3,19,6306,2,D,11.39,185604
2067,3,2,11,6459,2,B,15.49,363681
1193,5,4,23,6570,0,D,11.74,200209
1505,5,5,6,5893,2,C,8.07,288616
1938,3,3,10,6367,2,D,18.35,275740
2432,3,3,48,1685,1,D,13.64,299871
1228,2,3,24,5902,1,A,10.25,287373
1709,3,3,22,5178,0,E,15.01,203268
1639,3,4,23,894,2,E,22.65,199643
1001,3,4,12,4693,0,B,11.5,233481
2228,2,3,5,5070,2,D,6.04,309051
1374,3,4,42,5490,1,C,4.91,219777
1648,3,4,8,5108,0,C,5.43,287492
778,3,3,13,6027,1,E,6.8,123630
2083,3,3,12,5135,0,A,12.39,454287
1611,3,3,18,6060,1,A,3.01,376619
1500,4,4,7,6410,1,A,5.39,401304
1356,4,3,30,2781,2,C,9.41,226507
1528,4,4,26,5998,0,B,7.89,293133
2296,4,3,39,7076,0,E,15.98,254271
1601,3,3,26,8149,0,A,1.07,372690
1414,3,3,17,5229,2,C,10.81,245758
1402,2,2,74,4768,2,A,12.69,246280
1755,3,2,5,5984,1,C,13.23,302892
907,5,6,35,3475,2,E,5.83,134320
1927,5,5,3,7639,2,D,2.48,324942
1120,2,1,24,8571,1,C,8.44,184576
1616,3,2,8,1999,2,B,13.49,303471
1334,1,1,1,5988,2,B,5.78,256699
1962,1,1,5,4578,0,C,8.17,301360
2242,3,3,7,8404,2,C,8.55,363963
631,3,3,15,6889,2,D,5.87,133180
1265,5,5,13,4595,2,E,14.99,180480
845,3,3,58,9100,2,E,6.56,103755
1393,4,5,19,2931,2,B,8.71,290566
1405,4,3,0,5495,0,C,9.33,268517
1238,3,4,27,3048,1,C,14.74,200770
364,3,4,12,7404,2,C,11.61,121938
731,3,3,0,5874,2,A,9.78,252304
2254,5,6,14,2138,1,B,17.47,414724
1090,5,6,22,4279,2,C,16.31,218218
2358,3,2,17,6105,1,C,11.11,354156
1189,4,3,87,3745,0,B,4.11,179567
1274,5,4,48,3486,1,E,2.41,158634
2560,2,3,3,7003,2,B,2.55,461976
927,3,3,7,8459,2,C,10.89,200173
882,5,6,30,4400,0,A,10.0,279553
1209,3,3,16,2654,0,A,14.36,300360
328,3,2,19,4134,1,A,9.46,146189
1124,2,2,17,5263,2,A,19.46,265915
2080,5,4,56,8896,1,D,17.62,287701
917,3,3,13,5105,1,D,5.97,175512
1611,3,4,12,2232,2,B,5.55,304756
1340,3,2,0,3308,0,A,7.77,339994
1347,3,3,7,2078,0,C,7.24,236008
1653,3,4,1,5756,1,A,12.28,416850
2112,4,3,59,5686,1,E,10.95,216467
1310,4,4,7,4103,2,D,0.13,225791
